의소코드	3단계 지시문 및 대화
1	"자라나에게 내일 같이 하고 싶은 것을 제안해보세요.
A:Why don't we <PLAY> tomorrow?
B: I’d love to. How about 3 o'clock?
A: That’s fine with me. 


"
2	"자라나와 가장 좋아하는 과목에 대해 묻고 답해보세요.
A: What's your favorite subject?
B: My favorite subject is English. What about you?
A: My favorite subject is <SUBJECT>"
3	"자라나와 관심있는 운동에 대해 묻고 답해보세요.
S: What are you interested in?
AI: I’m interested in basketball. What about you?
S: I’m interested in <SPORTS>."
4	"자라나와 SNS에 대해 의견을 묻고 답해보세요.
S:  What is your opinion about social media?
AI: It’s good for relationships. What is your opinion about social media?
S: It’s <ADVICE>.
   "
5	"자라나와 궁금한 점을 묻고 답해보세요.
S: I wonder if my mom likes <WEARABLE>. 
AI: I think she will. I wonder if my dad likes gloves.   
S: I think he will. "
6	"자라나와 여러 나라의 전통 모자에 대해서 묻고 답해보세요.
S: What is <NATION_OF_HAT:0>?
AI: It is a <NATION_OF_HAT:1>. What is a Gat?
S: It is a Korean [traditional hat]."
7	"S: Do you know how to play<GAMES>?
AI: Yes, I do. I sometimes play it with my friends. Do you know how to play Monopoly?
S:<Yes, [I do]|No, [I don’t]>."
8	"자라나와 고민에 대해서 이야기 하고 충고해보세요.
(고민 말풍선 제시: I’m always late for school., I lose things often., I use my money too fast.)
S: <REGRET:0>
AI: I think you should <REGRETS:1>. I don’t know what to do in the future. What should I do?
S: I think you should <talk to your teacher|find something you like?."
9	"자라나와 동물보호소에 도움을 요청하고 답해보세요.
S: Can you <ACTIONS>?
AI: Sure, I can. Can you wash puppies then?
S: <No problem|Sorry, I can’t>."
10	"자라나와 능력여부에 대해 묻고 답해보세요.
S: Can you play <MUSICAL_INSTRUMENT>?
AI: No, I can’t play <MUSICAL_INSTRUMENT>. Can you sing a pop song?
S: <Yes, I can|No, I can’t>."
11	"자라나와 선호하는 음식에 대해 묻고 답해보세요.
S: Which do you prefer, <FOOD> or <FOOD>?
AI: I prefer <FOOD>. What about you?
S: I prefer <FOOD>."
12	"S: Why do you want to visit <CITY:0>?
AI: Because I want to see the <CITY:1>. Why do you want to visit <CITY:0>?
S: Because I want to see the <CITY:1>."
13	"자라나와 국내 도시로의 여행 계획을 묻고 기대를 표현 해보세요. 
S: Are you going to travel to <LOCALCITY>?
AI: Yes, I am looking forward to it. Are you going to travel to <LOCALCITY>?
S:  Yes, I am looking forward to it."
14	"자라나와 주말 계획에 대해 묻고 답해보세요..
S: What are you going to do this weekend?
AI: I am going to go camping. What about you?
S: I am going to <ACTIVITY>.

"
15	"S: How can I get to the <PLACE>?
AI: Go straight <one|two> and turn <left|right>. "
16	"자라나와 관심있는 음식에 대해 묻고 답해보세요.
S: Would you like some <FOOD>?
AI: No, thanks. I’m full. Would you like some spaghetti?
S: <Yes, please|No, thanks>."
17	"자라나와 내일 계획에 대해 묻고 답하며 기대를 표현해보세요.
S: Do you have any plans for tomorrow?
AI: I will go see my grandparents. What about you?
S: I will <NEXT_ACTIVITIES>. I’m looking forward to it."
18	"자라나와 안부를 묻고 답해보세요.
S: How are you doing?
AI: Not bad. What about you?
S:<I’m great|Not bad|Not good>."
20	"자라나에게 창문을 열어도 되는지 허락을 구하고, 자라나의 요청에 괜찮다고 답해보세요.
S: Do you mind if I open the window?
AI: Not at all. Then, do you mind if I use your blanket?
S: <Not at all|Sure, go ahead>."
21	"자라나와 경험에 대해 묻고 답해보세요.
S: S:  Have you ever been to <COUNTRIES>?
AI: No, I haven’t. Have you ever been to Japan?   
S: <Yes, I have| No, I haven’t.>"
22	"자라나와 박물관에서 금지된 행동에 대해 묻고 답하세요.
S: You must not <DO_NOT> in the museum. 
AI: Then, may I call in the museum? 
S: No. you must not call here.  "
23	"자라나와 여행가서 놀라웠던 일을 이야기해보세요.
S: What surprised you at the trip? 
AI: I was surprised by nature. How about you?
S: I was surprised by <WHAT_SURPRISE>   "
24	"자라나에게 스포츠 데이에 가져올 물건들을 상기시켜 주세요.
S: Bring water on a sports day.
AI: What else should I bring on a sports day?
S: Don't forget to bring a <SPORTS_DAY_ITEMS>. "
25	"자라나에게 요청하고 답하는 대화를 해보세요.
S: Can I ask you to <DO_THE_CHCORES>?
AI: Yes but can I ask you to help me? 
S: <All right.|I’m sorry but I can’t> 

"
26	"감기가 걸린 자라나에게 조언을 해보세요.
AI: I have a bad cold. What should I do?
S: Why don’t you <ADVICE>?
AI: That’s a good idea. I will try it."
27	"자라나와 취미에 대해 의견을 묻고 답해보세요.
S: What do you think about <HOBBIES>?
AI: I think it is fun. What do you think about board game?
S: I think it is <EMOTION>.
AI: I feel the same. I can play it with my friends."
28	"자라나와 능력여부에 대해 묻고 답해보세요.
AI: Let’s make our library rules. 
S: Can I <LIBRARY_RULES>?
또는 보기 제공: ?
AI: No, you can’t. Can I read comic books?
S: <Yes, you can|No, you can’t>"
29	"자라나와 기대할 만한 일에 대해서 묻고 기대를 표현해보세요.
AI: Our school festival is coming up. What are you looking forward to the most?
S: I’m looking forward to <SCHOOL_FESTIVAL_ACTIVITY>.
AI: Really? I’m looking forward to it, too."
30	"자라나와 해외 여행을 전 해야할 내용을 당부해보세요.
AI: I’m packing my luggage for tomorrow’s trip.
S: Make sure you pack <TRAVEL_ITEMS> 
AI: What else should I pack?
S: Make sure you pack  <TRAVEL_ITEMS>"
31	"S: How do you like this <THINGS>?
AI: I like it. I like its function. How do you like this <THING>?
S: I like it. I like its <COLORS>"
32	"자라나와 학교 생활과 관련된 걱정에 대해 서로 묻고 말해 보세요.
S: What’s the matter?
AI: I’m worried about the science project. What about you? 
S: I am worried about <EVNET>"
33	"자라나와 지난 주말에 한 일에 대해 묻고 답해보세요.
S: What are you going to do this weekend?
AI: I went on a trip to Jejudo. What did you do?
S: I <PLAYING_WEEKEND>."
34	"학교 축제에서 할 일에 대해 자라나와 이야기를 나누며 서로에게 행운을 기원하는 말을 해 보세요.
S: I am going to dance at the school festival.
AI: I will keep my fingers crossed for you. Actually, I am going to <PLAYING>.
S: I will keep my fingers crossed for you!"
35	"자라나와 함께, 어려운 과목과 흥미로운 과목에 대한 의견을 나눠 보세요. <보기>의 표현을 이용하여 대화해 보세요.
1st Round
S: I think <SUBJECT> is hard.
AI: I don’t think so. I think <EASY_SUBJECT> is hard.
2nd Round
AI: I think <EASY_SUBJECT> is interesting.
S: I don’t think so. I think <SUBJECT> is interesting."
36	"자라나에게 재즈가 최고의 음악이라는 의견을 표현하고, 그 후에 자라나의 의견에 동의하지 않는다고 말해보세요.
S: In my opinion, <MUSIC_GENRE> is the best music.
AI: No. In my opinion, <MUSIC_GENRE> is the best music.
S: I don’t agree with you."
38	"자라나와 자기소개를 주고 받고, 반갑다고 대답해보세요.
S: Hi, I’m <NAME>. I’m in <ORDINAL_NUMBER> grade.
AI: Nice to meet you. I’m Jarana. I’m in <ORDINAL_NUMBER> grade, too.
S: <Nice|Glad> to meet you.."
40	"자라나와 서로의 발표 주제에 대해 묻고 답해보세요.
S: What are you going to talk about?
AI: I’d like to tell you about our city hall. What about you? What’s your topic?
S: I’d like to tell you about <TOPIC>"
41	"자라나에게 음식을 추천하거나 추천을 받아 보세요.
S: Can you recommend something from the menu?
AI: I recommend that you try tomato pasta. Can you recommend something else?
S: I recommend that you try <RECOMMEND_FOOD>.  "
42	"자라나와의 대화에서 확실성을 표현해보세요.
S:  It’s going to <WEATHER>.
AI: Are you sure?  
S: Yes. I’m sure it’s going to <WEATHER> soon.  "
43	"자라나와 서로 감사의 이야기를 나눠 보세요.
S: I need to <ACTIVITY_IN_SCHOOL>.
AI: Thank you. Can I help you with it?
S: I appreciate your help.  "
45	"자라나에게 조리 방법을 물어 보세요.
S: Can you tell me how to cook a <DISH>? 
AI: Here is the recipe. 
S: Thank you for the recipe of a <DISH>.
"
46	"자라나와 영화에 대해 묻고 불만족함을 표현해보세요.
S: How do you like [the movie]?
AI: I didn’t like it. I could guess its ending.
S: I didn’t like it, either. <It was boring|The story wasn’t funny|The plot was hard to understand>.
AI: I feel the same."
47	"자라나와 주말에 만날 약속을 정해보세요.
AI: We should finish the team project. Let’s meet at the library on Saturday.
S: Sure. [What time] should we [meet]?
AI: Hmm, I’m free all day.
S: Then, how about <TIMES> P.M.?"
48	"자라나와 ‘나의 최애’를 서로 묻고 묘사해보세요.
S: What does [your favorite person] look like?
AI: My dad has blue eyes and usually wears jeans. What does your favorite person look like?
S: <He/She> <MY_FAVORITES>. 
AI: Oh, I see."
49	"자라나와 현장체험학습에서의 지켜야 하는 것을 표현해보세요.
AI: Let’s talk about things we have to follow.
S: We have to <RULES>.
AI: What else do we have to do?
S: We have to <RULES>."
50	"자라나와 스포츠 데이 후 화가 난 감정을 표현해보세요.
AI: You look upset. What happened at Sports Day?
S: <EMOTION_OF_ANGER>.
AI: That is rude!
S: I’m upset with <myself|the other team>"
51	"건강한 삶을 살기 위해 해야할 일을 강조하는 대화를 나눠보세요.
S: What should we do to be healthy?
AI: It is important to <DO_HEALTHY>. Do you have any other ideas?
S: It is important to drink enough water."
